"","mpg","milage","maketype","car_id","region","year","price","link","make","type","dealer","sold","scrapedate"
"230","22.4",43000,"Toyota Yaris 1,5 VVT-iE T3 Premium MDS 5d","5556087","København",2020,189900,"https://bilbasen.dk/brugt/bil/toyota/yaris/15-vvt-ie-t3-premium-mds-5d/5556087","Toyota","Yaris","cc0e2a10-86c4-4047-8106-68131152b5d5",0,"2022-11-08 22:29:38.772658"
"231","21.6",26000,"Toyota Yaris 1,5 VVT-iE T3 Smart 5d","5556090","København",2019,169900,"https://bilbasen.dk/brugt/bil/toyota/yaris/15-vvt-ie-t3-smart-5d/5556090","Toyota","Yaris","cc0e2a10-86c4-4047-8106-68131152b5d5",0,"2022-11-08 22:29:38.772658"
"232","21.6",42000,"Toyota Yaris 1,5 VVT-iE T3 Smart 5d","5556084","København",2019,159900,"https://bilbasen.dk/brugt/bil/toyota/yaris/15-vvt-ie-t3-smart-5d/5556084","Toyota","Yaris","cc0e2a10-86c4-4047-8106-68131152b5d5",0,"2022-11-08 22:29:38.772658"
"233","17.2",31000,"Volvo S60 1,5 T3 152 Momentum aut. 4d","5586203","Østjylland",2018,279900,"https://bilbasen.dk/brugt/bil/volvo/s60/15-t3-152-momentum-aut-4d/5586203","Volvo","S60","f52f3f8f-b398-4582-a43f-e23bea1feee6",0,"2022-11-08 22:29:38.772658"
"234","12.3",256000,"Ford S-MAX 2,0 Trend 7prs 5d","5526882","Østjylland",2006,59800,"https://bilbasen.dk/brugt/bil/ford/s-max/20-trend-7prs-5d/5526882","Ford","S-MAX","NA",0,"2022-11-08 22:29:38.772658"
"235","23.7",18000,"Ford Focus 1,0 EcoBoost mHEV Titanium stc. 5d","5256200","Syd- og Vestsjælland",2021,249700,"https://bilbasen.dk/brugt/bil/ford/focus/10-ecoboost-mhev-titanium-stc-5d/5256200","Ford","Focus","c91453f0-3a43-4ce5-88ca-8572574ebfec",0,"2022-11-08 22:29:38.772658"
"236","23.3",137000,"Ford Fiesta 1,0 SCTi 100 Titanium 5d","5571319","Syd- og Vestsjælland",2015,86900,"https://bilbasen.dk/brugt/bil/ford/fiesta/10-scti-100-titanium-5d/5571319","Ford","Fiesta","0db97acf-8024-4234-895d-4e5424a2d22b",0,"2022-11-08 22:29:38.772658"
"237","16.1",71000,"Ford Kuga 1,5 SCTi 150 Titanium 5d","5601243","Syd- og Vestsjælland",2016,224900,"https://bilbasen.dk/brugt/bil/ford/kuga/15-scti-150-titanium-5d/5601243","Ford","Kuga","82fadf3f-226b-448a-9e78-903ba1b1de36",0,"2022-11-08 22:29:38.772658"
"238","22.9",61000,"Ford Focus 1,0 EcoBoost Titanium stc. 5d","5533021","Østjylland",2019,239900,"https://bilbasen.dk/brugt/bil/ford/focus/10-ecoboost-titanium-stc-5d/5533021","Ford","Focus","f1a74b93-70b6-4ae1-b818-6a48b7770cd7",0,"2022-11-08 22:29:38.772658"
"239","23.3",154000,"Toyota Yaris 1,0 VVT-i T1 Style 5d","5586063","Østjylland",2014,59900,"https://bilbasen.dk/brugt/bil/toyota/yaris/10-vvt-i-t1-style-5d/5586063","Toyota","Yaris","f2266fbf-af1f-4b17-9c0d-1fe91b7a0a2d",0,"2022-11-08 22:29:38.772658"
